BSSID,SSID,BeaconCount,CaptureTimeSpan_ms,MeanInterBeaconTime_ms,StdInterBeaconTime_ms,MinInterBeaconTime_ms,MaxInterBeaconTime_ms,ExpectedBeaconInterval_TU,TimingJitter,MissedBeacons,MeanSeqGap,StdSeqGap,MaxSeqGap,SeqNumberResets,ChannelChanges,UniqueChannels,MeanRSSI,StdRSSI,RSSIRange,Encryption,HasHT,SuspicionScore,SuspicionReasons
B0:A7:B9:AF:A6:1B,ACTFIBERNET,190,1479902,7830.169312169312,34840.49521661921,43.0,311911.0,100,4.449520032475171,110,1.7195767195767195,441.94763660154615,2699.0,4,102,4,-82.6,8.046031589462245,30,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
B0:A7:B9:AF:A4:11,ACTFIBERNET,48,1482576,31544.17021276596,102285.22896746588,53.0,558807.0,100,3.242603253606219,26,-24.638297872340427,513.4144620145944,1655.0,3,27,5,-83.41666666666667,6.661522838272245,24,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
3C:6A:D2:16:D6:7E,KeethuSri ACT,214,1398041,6563.572769953052,37908.88981704625,52.0,331385.0,100,5.775648589562564,122,10.286384976525822,243.31324955311496,2158.0,4,110,5,-83.33177570093459,7.386526220222595,32,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
34:60:F9:A8:56:6D,Karthik,100,1430967,14454.212121212122,67869.04982049018,60.0,500172.0,100,4.6954513498659844,59,0.1414141414141414,502.25060843719325,2068.0,4,55,5,-83.63,6.012873395028909,30,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
E6:FA:C4:91:B6:4C,Pranav_105B_5G,64,1430950,22713.492063492064,84471.15104900779,42.0,503645.0,100,3.718985649990003,55,53.492063492063494,626.6430756745299,1648.0,2,38,4,-86.890625,5.111820063840214,21,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
E8:22:B8:10:0E:BA,JioFiber-Venkat,27,1490040,57309.230769230766,162670.50390265783,60.0,692260.0,100,2.8384695051108046,24,53.84615384615385,481.5419144629213,1555.0,2,11,3,-91.48148148148148,3.651873811645514,13,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
D6:90:16:CD:33:14,Jashim Home ,94,459125,4936.8279569892475,22503.29961874367,53.0,204191.0,100,4.558250725007881,73,1.2580645161290323,493.0249112505417,1958.0,2,61,5,-85.2127659574468,6.279977296763174,29,WPA3,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
60:98:49:F5:6D:EA,Airtel_Kapildev Kannadasn,27,1144467,44017.96153846154,89768.70193401742,53.0,308592.0,100,2.039365268051791,23,105.0,894.642185457404,2442.0,2,5,2,-91.85185185185185,4.120340759841105,16,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
7C:F1:7E:D1:A2:70,Golden_sprouts,16,29359,1957.2666666666667,2854.3108867282203,84.0,9626.0,100,1.4583147681817699,9,21.133333333333333,32.35487745670033,108.0,0,9,2,-86.9375,4.434241761564203,14,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
8A:CA:E7:DD:AC:D9,GrootZone_5G,189,1366333,7267.728723404255,47657.357064688935,42.0,468525.0,100,6.55739349553054,135,13.0,129.4376153082422,921.0,1,118,5,-86.8941798941799,6.8322933121782885,34,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
DA:47:32:39:06:01,Vaiskumar_5G,137,1157555,8511.433823529413,45585.838704856775,43.0,321051.0,100,5.355835414414112,63,-17.852941176470587,535.39255974315,2176.0,2,75,4,-85.32116788321167,4.974840089906147,21,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
7A:83:94:C0:10:05,Swathimohan,54,1154023,21774.01886792453,71292.65595646272,53.0,354718.0,100,3.2742075032464615,38,36.15094339622642,534.5721652451258,2456.0,2,18,3,-90.4074074074074,3.2127019047836822,15,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
04:AB:08:BD:E1:52,Dharanidharan-4G,75,1346437,18195.094594594593,80024.87533794691,53.0,497119.0,100,4.39815659751077,69,14.41891891891892,206.27073622662232,907.0,2,27,3,-87.97333333333333,5.753901927161028,25,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
CC:2D:21:96:4B:81,ACTFIBERNET,33,1248735,39022.96875,122499.80400102408,42.0,555502.0,100,3.1391718242319766,24,-2.78125,343.10120150737805,1328.0,2,20,4,-85.18181818181819,5.971047570645296,25,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
DA:44:89:2E:11:AD,,26,1229045,49161.8,110574.59455461126,37.0,350943.0,100,2.249197436879082,21,-79.96,847.6299546382254,936.0,2,18,3,-87.5,8.737276463521113,30,WEP,0,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
D8:47:32:3A:06:01,Vaiskumar,133,1157863,8771.689393939394,46263.263067975226,42.0,321208.0,100,5.274156548984242,58,-18.348484848484848,543.7015063552371,2178.0,2,77,4,-85.02255639097744,4.689553453920187,23,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
CA:78:C9:FF:93:2D,SHREEDHAR-JIO,21,904010,45200.5,100464.76679989803,153.0,324865.0,100,2.22264724500117,20,113.8,836.0257865577315,3325.0,2,6,2,-93.61904761904762,2.108937895628756,8,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
74:DA:88:E5:67:A1,KURUPS,94,1274730,13706.774193548386,61471.03056409174,53.0,451806.0,100,4.484718993075752,76,1.7096774193548387,268.6800902255142,920.0,2,31,3,-86.44680851063829,5.712873636686181,28,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
5E:62:8B:27:EB:58,,11,1242107,124210.7,202637.22378403234,124.0,565949.0,100,1.631399096715508,9,-12.5,816.8205637306968,633.0,1,5,3,-91.81818181818181,1.662418829187267,5,WEP,0,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
72:78:C9:FA:AA:E5,GM_Jio,59,1498778,25841.0,88655.32508917141,102.0,441925.0,100,3.4308008624178865,48,8.39655172413793,587.4847945671019,2817.0,2,28,4,-89.37288135593221,3.1288331254734882,14,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
