Timestamp_ms,SSID,BSSID,RSSI,Channel,SequenceNumber,BeaconInterval,BeaconTimestamp,Encryption,Privacy,ShortPreamble,ShortSlot,RateCount,SupportedRates,ExtRateCount,DSChannel,CountryCode,HasHT,HTChannelWidth,HTStreams,HasExtCap,OUI,VendorName,IsHidden,FrameLength
4256,Home Sweet,9C:A2:F4:AD:D2:8F,-88,11,2890,100,189100237133,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,10,,1,40,2,1,9C:A2:F4,Unknown,0,240
4309,Home Sweet_5G,9E:A2:F4:A9:D2:8F,-86,11,2891,100,189100239262,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,10,,1,40,2,1,9E:A2:F4,Unknown,0,243
4362,SAMIKSHA,54:AF:97:24:0F:A3,-70,12,2281,100,803860787538,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,,1,40,2,1,54:AF:97,Unknown,0,238
4414,104A_4G,04:AB:08:D8:1A:42,-86,12,3069,100,303615797060,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,IN,1,20,2,1,04:AB:08,Unknown,0,280
4457,SAMIKSHA,54:AF:97:24:0F:A3,-71,12,2282,100,803860889936,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,,1,40,2,1,54:AF:97,Unknown,0,238
4510,104A_4G,04:AB:08:D8:1A:42,-87,12,3070,100,303615899467,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,IN,1,20,2,1,04:AB:08,Unknown,0,280
4711,Pranav_JIO_4G,B4:A7:C6:70:FC:04,-91,1,4051,100,605522432396,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,IN,1,20,2,1,B4:A7:C6,Unknown,0,286
4764,JioFiber_4G,F0:ED:B8:BC:70:D7,-88,1,1223,100,3374141542806,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,IN,1,20,2,1,F0:ED:B8,Unknown,0,284
4816,Prakash 2 G,8C:A3:99:A1:A7:AD,-78,1,575,100,803781530014,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,1,IN,1,40,2,1,8C:A3:99,Unknown,0,333
4869,ACT-ai_103743468848,9C:53:22:77:43:12,-79,1,1755,100,802967654722,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,9C:53:22,Unknown,0,300
4911,Pranav_105B,E4:FA:C4:97:B6:4C,-87,1,622,100,1924931072322,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,2,,1,40,2,1,E4:FA:C4,Unknown,0,241
4963,Tapo_Cam_A6EA,DE:62:79:27:A6:EA,-84,1,2692,100,802975334970,Open,0,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,1,,1,20,1,0,DE:62:79,Unknown,0,161
5015,Pranav_JIO_4G,B4:A7:C6:70:FC:04,-93,1,4052,100,605522534822,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,IN,1,20,2,1,B4:A7:C6,Unknown,0,286
5068,JioFiber_4G,F0:ED:B8:BC:70:D7,-91,1,1224,100,3374141645196,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,IN,1,20,2,1,F0:ED:B8,Unknown,0,284
5111,Tapo_Cam_A6EA,DE:62:79:27:A6:EA,-87,2,2694,100,802975539634,Open,0,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,1,,1,20,1,0,DE:62:79,Unknown,0,161
5163,Pranav_105B,E4:FA:C4:97:B6:4C,-82,2,628,100,1924931379523,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,2,,1,40,2,1,E4:FA:C4,Unknown,0,241
5216,Pranav_105B_5G,E6:FA:C4:91:B6:4C,-82,2,629,100,1924931381660,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,2,,1,40,2,1,E6:FA:C4,Unknown,0,244
5258,Tapo_Cam_A6EA,DE:62:79:27:A6:EA,-87,2,2695,100,802975643481,Open,0,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,1,,1,20,1,0,DE:62:79,Unknown,0,161
